Age,Salary,Experience,Department,Performance
25,50000,2,IT,3
30,60000,5,HR,4
22,45000,1,IT,2
35,80000,10,Finance,5
28,52000,3,IT,3
40,90000,12,Finance,5
29,58000,4,HR,4
31,62000,6,IT,4
27,48000,2,Marketing,3
45,100000,15,Finance,5
38,75000,9,IT,4
26,51000,3,Marketing,3
33,67000,7,HR,4
24,47000,1,IT,2
36,82000,11,Finance,5
32,64000,6,IT,4
41,91000,13,Finance,5
23,46000,1,Marketing,2
37,78000,8,IT,4
34,72000,7,HR,4
39,85000,10,Finance,5
21,42000,0,IT,1
28,53000,3,Marketing,3
42,92000,14,Finance,5
30,61000,5,HR,4
27,49000,2,IT,3
35,81000,10,Finance,5
29,57000,4,Marketing,3
31,63000,6,IT,4
44,98000,14,Finance,5
36,83000,11,HR,5
25,51000,2,IT,3
33,68000,7,Marketing,4
38,76000,9,Finance,4
26,52000,3,IT,3
40,89000,12,Finance,5
28,54000,3,HR,3
37,79000,8,IT,4
34,71000,7,Marketing,4
43,95000,13,Finance,5
22,44000,1,IT,2
39,86000,10,Finance,5
27,50000,2,Marketing,3
32,65000,6,HR,4
41,93000,13,Finance,5
24,48000,1,IT,2
36,84000,11,Finance,5
30,60000,5,IT,4
35,80000,10,HR,5
29,56000,4,Marketing,3
